siteName,X,Y
Navetta,366779.727262027,6674893.96469524
Tavara-asema,201837.510108868,6929972.64416994
Pysäkkirakennus,429045.779693164,7367874.14059056
Entinen eteläinen metsänvartijan talo,623958.350770316,6850933.03245363
Entisen sahan konehuone,354460.980109566,6703974.6853989
Ratamestarin talousrakennus 2,304779.743488789,6821135.1577246
Ns verstaspihan rakennukset metallityö,394955.529846042,6704420.79459467
Ns verstaspihan rakennus Monttu,394983.656420936,6704441.6603475
Ns verstaspihan rakennus puutyöverstas,394996.932230252,6704416.48547177
Ns verstaspihan rakennus sauna,394999.158608212,6704391.03065303
Entinen Järvenpään koulutilan kotieläinrakennus,395203.086583496,6704041.27184542
Entinen Järvenpään koulutilan asuinrakennus,395164.273394395,6704000.73009758
Autotalli,354469.555787633,6703336.01539832
Pehtorin talo,354451.456159404,6703302.28226461
Sikala,354534.54128653,6703262.80030105
Työväen asuintalo,354472.021295078,6703182.99654487
Talli,354436.646623048,6703198.63336204
Portinvartijan talo,622064.997723984,6852718.12910239
Tapuli,369605.289497707,7306152.43386493
"Asuinrakennus 8, Komentola",601688.098183413,6790728.69687151
Ruokala,601640.503170137,6791416.61684739
Sissikomppania,601678.3598413,6791504.22901419
Toimiupseerikerho,602148.875962672,6790884.45516736
Miehistösauna,601614.553498138,6790897.43252586
Kasvihuone ja puutarha,203798.949091551,6789770.54190117
Kaivo,506379.28199776,6751684.76415076
Asuinkasarmin talousrakennus,506428.047920927,6751739.01310854
Eteläisen kaksoisvahtituvan talousrakennus,506320.60456975,6751735.21388186
"Kirjanpitäjän asuintalo, palanut",552691.926306746,6755173.09411132
Pohjoisen vahtituvan talousrakennus,622286.852164767,6854191.18926527
Pohjoisen vahtituvan talousrakennus,622286.852164767,6854191.18926527
Asemapäällikön talousrakennus,622401.189041775,6854078.85213116
Asemapäällikön talousrakennus,622401.189041775,6854078.85213116
Huvimaja,622430.882327085,6854117.59424532
Huvimaja,622430.882327085,6854117.59424532
Konepaja,535812.394428337,6974495.93158393
Vanhin asuinrakennus,535697.199983522,6974566.82715335
Piha-alue puukujanteineen,354553.976741536,6704193.47086575
Kirkko,326164.276956483,6790819.83831993
Asemapäällikön kellari,622366.812116905,6854103.0272104
Asemapäällikön kellari,622366.812116905,6854103.0272104
Pohjoisen vahtituvan kellari,622276.924168235,6854196.66815006
Pohjoisen vahtituvan kellari,622276.924168235,6854196.66815006
"Mikontalo, asuinkerrostalo",535766.250683656,6974613.7276069
Muuri,385175.026730611,6672731.04495128
Entinen aseverstas,513820.95032877,6838606.65145273
Kaksi punatiilistä kasarmirakennuksta,513794.901706639,6838686.49520077
"Pohjoinen asuinkasarmi, Tahintie 3-7",508458.488128679,6908467.07156686
"Liiteri, Tahintie 3-7",508470.057048226,6908484.81795464
"Liiteri, Tahintie 3-7",508503.955714127,6908393.5665286
Kaartin lasaretti -korttelin ent. eristysrakennus,384999.612884903,6671430.54966333
Kaartin lasaretti -korttelin ent. kuormastovaja,385009.029639089,6671417.70227838
Kaartin lasaretti -korttelin ent. VTT:n rakennus,385016.310719602,6671405.71471841
"Eteläinen asuinkasarmi, Tahintie 3-7",508503.700092954,6908351.85501886
Varasto,508490.267612595,6908271.21143362
Vahtitupa,383911.400567319,6673867.51362638
Talousrakennus,383891.519836721,6673848.57748078
Laituri,383832.726966891,6673800.39728772
Talousrakennus,435067.777503424,6901520.33555483
Asemarakennus ja laiturikatokset,483989.217293237,6747920.23041068
Asemarakennus,207999.011112927,6841159.05191902
Tavaramakasiini,207926.225045326,6841174.34880538
Tapuli,289015.123971794,6703352.53203641
Asuinkasarmi,642433.263865577,6943709.57805689
Tavaramakasiini,427325.243051588,7362144.8167778
Finlandia-hotelli,622217.521105927,6853716.15595692
Finlandia-hotellin majoitusrakennus,622320.73433898,6853739.17127222
Finlandia-hotellin talousrakennus,622363.472549966,6853753.35838447
Finlandia-hotellin ulkorakennus,622292.170734338,6853765.00601363
Pohjoisen vahtituvan sauna,622312.199890133,6854163.44491255
Pohjoisen vahtituvan sauna,622312.199890133,6854163.44491255
Asemarakennus,622387.138123095,6854138.47999409
Asemarakennus,622387.138123095,6854138.47999409
Pohjoisen kaksoisvahtituvan talousrakennus,622281.162532203,6854205.93626356
Pohjoisen kaksoisvahtituvan talousrakennus,622281.162532203,6854205.93626356
liiteri,201889.219798448,6930182.84138491
Entinen vaunuhalli,273487.514757398,6638619.33829023
Tavaramakasiini,363761.022615403,6765556.80053799
Kellari,371931.706040619,6755978.61015086
